timestamp,太阳总辐照度,直接法向辐照度,全球水平辐照度,温度,气压,小时,日子,月份,季节,target
2019/1/2 12:30,357.09,257.64,190.85,-5.72,866.42,2,2,1,1,60.7
2019/1/2 12:45,366.79,264.64,240.98,-5.15,866.28,2.25,2,1,1,60.64
2019/1/2 13:00,333.01,240.27,216.96,-5.35,866.15,2.5,2,1,1,46.97
2019/1/2 13:15,222.37,160.44,139.54,-5.09,866.11,2.75,2,1,1,42.94
2019/1/2 13:30,261.34,188.56,160.2,-4.64,866.13,3,2,1,1,48.49
2019/1/2 13:45,384.49,277.41,257.49,-4.41,866.03,3.25,2,1,1,63.64
2019/1/2 14:00,311.2,224.53,211.51,-4.15,865.83,3.5,2,1,1,52.6
2019/1/2 14:15,309.13,223.03,207.93,-4.5,865.68,3.75,2,1,1,57.98
2019/1/2 14:30,361.77,261.02,243.46,-4.27,865.57,4,2,1,1,69.63
2019/1/2 14:45,397.45,286.76,269.24,-3.52,865.43,4.25,2,1,1,66.67
2019/1/2 15:00,364.29,262.83,250.07,-3.44,865.26,4.5,2,1,1,66.86
2019/1/2 15:15,387.1,279.29,269.89,-3.05,865.15,4.75,2,1,1,73.75
2019/1/2 15:30,417.62,301.31,294.52,-3.28,864.97,5,2,1,1,77.97
2019/1/2 15:45,411.75,297.08,289.98,-2.79,864.84,5.25,2,1,1,75.9
2019/1/2 16:00,400.99,289.32,283.12,-2.59,864.73,5.5,2,1,1,72.83
2019/1/2 16:15,382.75,276.16,269.36,-2.41,864.57,5.75,2,1,1,67.55
2019/1/2 16:30,336.89,243.06,235.12,-3.04,864.54,6,2,1,1,57.09
2019/1/3 10:30,13.05,9.42,7.98,-9.29,870.65,0,3,1,1,3.11
2019/1/3 10:45,37.03,26.71,22.52,-8.99,870.89,0.25,3,1,1,6.08
2019/1/3 11:00,21.47,15.49,13.15,-8.22,870.89,0.5,3,1,1,5.15
2019/1/3 11:15,38.75,27.96,24.17,-8.09,871.02,0.75,3,1,1,13.47
2019/1/3 11:30,164.87,118.95,114.6,-7.51,871.06,1,3,1,1,32.72
2019/1/3 11:45,196.56,141.82,135.52,-5.47,871.01,1.25,3,1,1,44.48
2019/1/3 12:00,238.11,171.8,165.22,-3.26,870.84,1.5,3,1,1,52.47
2019/1/3 12:15,209.15,150.9,187.61,-4.71,870.8,1.75,3,1,1,58.9
2019/1/3 12:30,302.34,218.14,136.9,-4.43,870.65,2,3,1,1,65.09
2019/1/3 12:45,334.17,241.11,237.56,-3.7,870.58,2.25,3,1,1,70.32
2019/1/3 13:00,360.87,260.37,259.49,-3.18,870.42,2.5,3,1,1,74.51
2019/1/3 13:15,384.06,277.1,277.82,-2.52,870.23,2.75,3,1,1,78.06
2019/1/3 13:30,401.34,289.57,290.96,-2.09,870.12,3,3,1,1,80.79
2019/1/3 13:45,417.53,301.25,302.36,-1.19,869.96,3.25,3,1,1,83.31
2019/1/3 14:00,430.69,310.75,311.27,-0.67,869.79,3.5,3,1,1,84.72
2019/1/3 14:15,438.93,316.69,317.6,-0.7,869.55,3.75,3,1,1,85.39
2019/1/3 14:30,445.77,321.63,321.46,-0.52,869.26,4,3,1,1,85.43
2019/1/3 14:45,441.65,318.65,320.11,-0.07,869.03,4.25,3,1,1,84.61
2019/1/3 15:00,448.73,323.76,324.41,0,868.81,4.5,3,1,1,83.64
2019/1/3 15:15,440.7,317.97,318.45,0.67,868.53,4.75,3,1,1,82.7
2019/1/3 15:30,435.34,314.1,314.64,0.79,868.3,5,3,1,1,80.67
2019/1/3 15:45,422.8,305.05,305.41,1.12,868.1,5.25,3,1,1,78.35
2019/1/3 16:00,406.13,293.02,292.74,1.56,867.86,5.5,3,1,1,75.21
2019/1/3 16:15,388.77,280.5,278.61,1.84,867.64,5.75,3,1,1,71.31
2019/1/3 16:30,369.39,266.51,263.02,2.01,867.54,6,3,1,1,67.25
2019/1/4 10:30,32.13,23.18,19.49,-11.15,869.7,0,4,1,1,6.49
2019/1/4 10:45,56.97,41.1,37.1,-10.32,869.54,0.25,4,1,1,9.71
2019/1/4 11:00,87.26,62.96,59.01,-9.4,869.36,0.5,4,1,1,13.09
2019/1/4 11:15,126.23,91.07,86.57,-8.35,869.35,0.75,4,1,1,20.02
2019/1/4 11:30,164.52,118.7,113,-7.3,868.98,1,4,1,1,33.49
2019/1/4 11:45,204.71,147.7,140.53,-5.86,868.69,1.25,4,1,1,43.84
2019/1/4 12:00,240.79,173.73,166.38,-4.53,868.41,1.5,4,1,1,52.58
2019/1/4 12:15,222.15,160.28,190.16,-4.3,867.82,1.75,4,1,1,59.82
2019/1/4 12:30,308.73,222.75,139.72,-3.68,867.53,2,4,1,1,65.66
2019/1/4 12:45,337.55,243.54,238.29,-3.96,867.32,2.25,4,1,1,69.94
2019/1/4 13:00,359.65,259.49,255.32,-4.05,866.96,2.5,4,1,1,74.69
2019/1/4 13:15,387.73,279.74,277.03,-4.17,866.45,2.75,4,1,1,77.14
2019/1/4 13:30,417,300.87,301.68,-4.43,865.96,3,4,1,1,83.44
2019/1/4 13:45,429.87,310.15,310.98,-2.73,865.57,3.25,4,1,1,85.09
2019/1/4 14:00,438.81,316.6,316.32,-2.48,865.14,3.5,4,1,1,86.87
2019/1/4 14:15,453.97,327.54,326.35,-3.31,864.78,3.75,4,1,1,87.83
2019/1/4 14:30,456.69,329.5,327.54,-3.41,864.67,4,4,1,1,86.36
2019/1/4 14:45,446.15,321.9,320.19,-2.98,864.36,4.25,4,1,1,86.35
2019/1/4 15:00,461.4,332.9,328.42,-2.76,864.03,4.5,4,1,1,88.54
2019/1/4 15:15,487.55,351.77,341.18,-1.98,863.75,4.75,4,1,1,85.34
2019/1/4 15:30,419.69,302.81,293.5,-1.77,863.4,5,4,1,1,70.72
2019/1/4 15:45,386.53,278.88,260.3,-2.26,863.2,5.25,4,1,1,57.3
2019/1/4 16:00,338.96,244.56,226.33,-2.36,863.18,5.5,4,1,1,59.15
2019/1/4 16:15,316.65,228.47,210.57,-1.77,863.02,5.75,4,1,1,56.27
2019/1/4 16:30,295.31,213.07,192,-2.31,862.94,6,4,1,1,47.83
2019/1/5 10:30,17.12,12.35,9.68,-9.63,863.47,0,5,1,1,3.27
2019/1/5 10:45,33.9,24.46,18.81,-8.92,863.36,0.25,5,1,1,6.05
2019/1/5 11:00,61.23,44.18,35.24,-8.22,863.53,0.5,5,1,1,10.64
2019/1/5 11:15,82.87,59.79,47.98,-7.38,863.46,0.75,5,1,1,13.21
2019/1/5 11:30,103.75,74.85,59.93,-6.6,863.45,1,5,1,1,18.38
2019/1/5 11:45,160.55,115.83,96.7,-5.6,863.53,1.25,5,1,1,28.82
2019/1/5 12:00,180.43,130.18,109.34,-5,863.26,1.5,5,1,1,28.12
2019/1/5 12:15,162.86,117.5,98.83,-4.81,863.13,1.75,5,1,1,21.19
2019/1/5 12:30,138.43,99.88,77.5,-4.67,862.98,2,5,1,1,19.47
2019/1/5 12:45,142.74,102.99,79.66,-4.48,862.78,2.25,5,1,1,21.54
2019/1/5 13:00,166.32,120,91.93,-4.16,862.65,2.5,5,1,1,27.27
2019/1/5 13:15,226.91,163.71,129.88,-3.85,862.54,2.75,5,1,1,33.29
2019/1/5 13:30,199.86,144.2,112.31,-3.47,862.52,3,5,1,1,24.23
2019/1/5 13:45,171.95,124.06,94.5,-3.5,862.34,3.25,5,1,1,22.57
2019/1/5 14:00,161.93,116.83,90.89,-3.39,862.3,3.5,5,1,1,23.48
2019/1/5 14:15,194.92,140.63,111.2,-3.06,862.2,3.75,5,1,1,31.34
2019/1/5 14:30,404.53,291.87,262.13,-2.18,862.19,4,5,1,1,40.47
2019/1/5 14:45,341.85,246.65,216.77,-2.28,861.92,4.25,5,1,1,49.36
2019/1/5 15:00,379.92,274.11,247.13,-2.06,861.86,4.5,5,1,1,61.68
2019/1/5 15:15,364.84,263.23,233.3,-2.27,861.59,4.75,5,1,1,48.82
2019/1/5 15:30,332.32,239.77,210.37,-2.15,861.6,5,5,1,1,42.17
2019/1/5 15:45,296.62,214.01,172.72,-1.95,861.61,5.25,5,1,1,51.22
2019/1/5 16:00,328.09,236.72,205.34,-1.24,861.67,5.5,5,1,1,43.58
2019/1/5 16:15,189.11,136.45,110.91,-1.95,861.7,5.75,5,1,1,25.3
2019/1/5 16:30,164.53,118.71,96.79,-1.75,861.84,6,5,1,1,22.15
2019/1/6 10:30,27.96,20.17,15.18,-8.22,871.04,0,6,1,1,6.01
2019/1/6 10:45,58.59,42.28,33.81,-7.84,871.15,0.25,6,1,1,9.14
2019/1/6 11:00,86.48,62.4,50.37,-7.1,871.24,0.5,6,1,1,12.65
2019/1/6 11:15,110.68,79.86,67.68,-6.15,871.32,0.75,6,1,1,14.88
2019/1/6 11:30,115.21,83.12,64.96,-5.64,871.37,1,6,1,1,17.08
2019/1/6 11:45,132.69,95.74,73.83,-5.37,871.44,1.25,6,1,1,19.9
2019/1/6 12:00,144.09,103.96,81.49,-5.19,871.46,1.5,6,1,1,28.42
2019/1/6 12:15,228.8,165.08,147.83,-5.03,871.51,1.75,6,1,1,37.6
2019/1/6 12:30,166.22,119.93,93.82,-5.22,871.48,2,6,1,1,25.65
2019/1/6 12:45,245.59,177.19,149.6,-5.1,871.57,2.25,6,1,1,34.48
2019/1/6 13:00,160.63,115.9,91.75,-4.6,871.55,2.5,6,1,1,22.06
2019/1/6 13:15,155.05,111.87,86.07,-4.6,871.57,2.75,6,1,1,23.64
2019/1/6 13:30,216.77,156.4,129.3,-4.9,871.68,3,6,1,1,28.61
2019/1/6 13:45,139.92,100.95,80.75,-5.58,871.69,3.25,6,1,1,18.65
2019/1/6 14:00,125.13,90.28,71.32,-5.84,871.7,3.5,6,1,1,24.31
2019/1/6 14:15,230.37,166.21,144.74,-5.7,871.83,3.75,6,1,1,52.62
2019/1/6 14:30,311.79,224.96,215.69,-4.96,871.64,4,6,1,1,58.72
2019/1/6 14:45,284.29,205.12,183.84,-4.57,871.47,4.25,6,1,1,63.33
2019/1/6 15:00,378.46,273.06,261.08,-3.76,871.33,4.5,6,1,1,82.34
2019/1/6 15:15,427.1,308.15,312.2,-3.31,871.07,4.75,6,1,1,82.97
2019/1/6 15:30,428.79,309.37,310.43,-2.3,870.95,5,6,1,1,78.9
2019/1/6 15:45,389.33,280.9,286.36,-1.66,870.74,5.25,6,1,1,74.96
2019/1/6 16:00,396.97,286.41,290.24,-2.39,870.66,5.5,6,1,1,70.67
2019/1/6 16:15,372.29,268.61,271.83,-2.16,870.65,5.75,6,1,1,68.63
2019/1/6 16:30,349.18,251.93,253.68,-1.15,870.6,6,6,1,1,64.27
2019/1/7 10:30,25.07,18.09,14.78,-11.16,874.18,0,7,1,1,5.39
2019/1/7 10:45,48.43,34.94,30.18,-10.88,874.08,0.25,7,1,1,9.19
2019/1/7 11:00,75.69,54.61,49.45,-10.26,874.02,0.5,7,1,1,13.5
2019/1/7 11:15,106.67,76.96,71.63,-9.2,873.99,0.75,7,1,1,19.44
2019/1/7 11:30,140.07,101.06,95.44,-8.38,873.72,1,7,1,1,28.76
2019/1/7 11:45,173.55,125.22,119.43,-6.72,873.51,1.25,7,1,1,37.14
2019/1/7 12:00,206.15,148.74,142.74,-5.4,873.18,1.5,7,1,1,44.34
2019/1/7 12:15,200.29,144.51,164.85,-4.65,872.94,1.75,7,1,1,51.15
2019/1/7 12:30,257.88,186.06,141.39,-4.79,872.66,2,7,1,1,57.16
2019/1/7 12:45,294.95,212.81,210.13,-5,872.44,2.25,7,1,1,63.06
2019/1/7 13:00,322.82,232.91,233.52,-5.4,872.09,2.5,7,1,1,68.32
2019/1/7 13:15,346.11,249.72,252.49,-5.19,871.81,2.75,7,1,1,72.79
2019/1/7 13:30,365.63,263.8,268.47,-5.15,871.49,3,7,1,1,76.38
2019/1/7 13:45,381.19,275.03,279.89,-4.67,871.26,3.25,7,1,1,79.1
2019/1/7 14:00,395.94,285.67,290.48,-4.62,871.02,3.5,7,1,1,81.11
2019/1/7 14:15,406.95,293.61,298.33,-4.77,870.76,3.75,7,1,1,81.93
2019/1/7 14:30,409.19,295.23,299.45,-4.01,870.63,4,7,1,1,82.26
2019/1/7 14:45,411.45,296.86,302.46,-3.96,870.39,4.25,7,1,1,82.22
2019/1/7 15:00,409.81,295.68,300.78,-3.89,870.09,4.5,7,1,1,81.03
2019/1/7 15:15,403.91,291.42,295.99,-3.03,869.8,4.75,7,1,1,79.47
2019/1/7 15:30,397.05,286.47,290.6,-3.4,869.57,5,7,1,1,77.77
2019/1/7 15:45,387.25,279.4,283.28,-2.72,869.42,5.25,7,1,1,75.46
2019/1/7 16:00,377.93,272.68,276.28,-3,869.13,5.5,7,1,1,72.38
2019/1/7 16:15,360.59,260.16,262.36,-3.01,869.04,5.75,7,1,1,68.43
2019/1/7 16:30,338.15,243.97,244.27,-2.84,868.97,6,7,1,1,63.96
2019/1/8 10:30,42.02,30.32,24.33,-11.42,867.61,0,8,1,1,9.82
2019/1/8 10:45,83.33,60.12,49.78,-10.73,867.7,0.25,8,1,1,11.59
2019/1/8 11:00,75.04,54.14,44.4,-9.73,867.71,0.5,8,1,1,10.29
2019/1/8 11:15,84.99,61.32,50.99,-9.04,867.62,0.75,8,1,1,16.9
2019/1/8 11:30,141.28,101.93,92.58,-8.16,867.34,1,8,1,1,27.97
2019/1/8 11:45,177.79,128.28,119.67,-7.55,867.4,1.25,8,1,1,37.36
2019/1/8 12:00,238.57,172.13,153.46,-6.61,867.16,1.5,8,1,1,42.49
2019/1/8 12:15,230.29,166.16,167.41,-6.51,866.94,1.75,8,1,1,43.16
2019/1/8 12:30,239.22,172.6,140.84,-6.81,866.74,2,8,1,1,33.41
2019/1/8 12:45,261.34,188.56,174.91,-6.96,866.8,2.25,8,1,1,39.26
2019/1/8 13:00,227.95,164.46,146.35,-6.9,866.75,2.5,8,1,1,54.33
2019/1/8 13:15,375.23,270.73,253.6,-6.66,866.49,2.75,8,1,1,54.67
2019/1/8 13:30,222.38,160.45,126.15,-6.37,866.02,3,8,1,1,31.92
2019/1/8 13:45,211.64,152.7,121.43,-6.04,865.51,3.25,8,1,1,43.8
2019/1/8 14:00,323.39,233.32,207.55,-5.33,865.4,3.5,8,1,1,56.78
2019/1/8 14:15,417.46,301.2,282.21,-5.34,864.87,3.75,8,1,1,64.66
2019/1/8 14:30,385.36,278.04,249.45,-4.77,864.68,4,8,1,1,62.69
2019/1/8 14:45,349.35,252.05,222.71,-5.13,864.52,4.25,8,1,1,59.64
2019/1/8 15:00,347.7,250.87,227.46,-4.88,864.48,4.5,8,1,1,76.27
2019/1/8 15:15,429.54,309.91,310.42,-4.2,864.49,4.75,8,1,1,83.06
2019/1/8 15:30,408.11,294.45,298.6,-3.87,864.32,5,8,1,1,80.59
2019/1/8 15:45,396.89,286.35,290.74,-3.85,864.41,5.25,8,1,1,76.07
2019/1/8 16:00,371.79,268.25,270.43,-3.2,864.2,5.5,8,1,1,72.22
2019/1/8 16:15,351.49,253.6,254.26,-3.63,863.93,5.75,8,1,1,59.03
2019/1/8 16:30,286.49,206.7,200.42,-3.87,863.71,6,8,1,1,54.18
2019/1/9 10:30,21.09,15.22,11.93,-8.8,867.62,0,9,1,1,4.19
2019/1/9 10:45,33.71,24.32,20.01,-8.51,867.7,0.25,9,1,1,6.82
2019/1/9 11:00,69.7,50.29,47.12,-8.36,867.71,0.5,9,1,1,13.26
2019/1/9 11:15,114.76,82.8,81.91,-7.43,867.72,0.75,9,1,1,21.32
2019/1/9 11:30,137.98,99.55,99.06,-6.57,867.74,1,9,1,1,26.95
2019/1/9 11:45,152.32,109.9,106.39,-6.6,867.8,1.25,9,1,1,32.28
2019/1/9 12:00,179.46,129.48,125.79,-6.38,867.62,1.5,9,1,1,43.24
2019/1/9 12:15,210.08,151.57,175.2,-5.43,867.63,1.75,9,1,1,58.81
2019/1/9 12:30,259.31,187.09,167.51,-4.31,867.46,2,9,1,1,63.17
2019/1/9 12:45,310.69,224.17,218.24,-4.08,867.18,2.25,9,1,1,69.72
2019/1/9 13:00,316.22,228.15,220.05,-3,866.89,2.5,9,1,1,56.29
2019/1/9 13:15,276.87,199.76,188.35,-2.58,866.64,2.75,9,1,1,49.94
2019/1/9 13:30,238.75,172.26,153.12,-2.64,866.55,3,9,1,1,47.71
2019/1/9 13:45,275.39,198.7,168.9,-2.56,866.33,3.25,9,1,1,39.77
2019/1/9 14:00,216.77,156.4,120.75,-2.6,866.09,3.5,9,1,1,33.77
2019/1/9 14:15,232.59,167.82,131.44,-2.4,865.97,3.75,9,1,1,33.35
2019/1/9 14:30,220.56,159.13,121.39,-2.27,865.81,4,9,1,1,28.41
2019/1/9 14:45,194.13,140.06,102.5,-2.18,865.73,4.25,9,1,1,25.56
2019/1/9 15:00,190.02,137.1,102.95,-2.1,865.64,4.5,9,1,1,26.05
2019/1/9 15:15,170.93,123.32,91.74,-1.93,865.49,4.75,9,1,1,21.13
2019/1/9 15:30,158.57,114.41,83.07,-2.07,865.4,5,9,1,1,33.14
2019/1/9 15:45,238.37,171.99,144.3,-1.49,865.37,5.25,9,1,1,44.36
2019/1/9 16:00,261.25,188.49,152.79,-0.5,865.14,5.5,9,1,1,36.4
2019/1/9 16:15,263.23,189.92,151.19,-0.59,865.08,5.75,9,1,1,29.84
2019/1/9 16:30,139.27,100.48,89.29,-0.94,864.98,6,9,1,1,46.83
2019/1/10 10:30,30.29,21.85,18.62,-10.66,868.53,0,10,1,1,4.13
2019/1/10 10:45,36.67,26.45,24.18,-10.17,868.33,0.25,10,1,1,9.22
2019/1/10 11:00,87.11,62.85,63.16,-9.23,868.11,0.5,10,1,1,14.24
2019/1/10 11:15,122.86,88.64,89.7,-7.97,867.9,0.75,10,1,1,23.13
2019/1/10 11:30,162.09,116.95,118.5,-6.89,867.29,1,10,1,1,37
2019/1/10 11:45,198.07,142.91,143.21,-7.25,866.84,1.25,10,1,1,48.23
2019/1/10 12:00,237.48,171.34,171.28,-7.38,866.8,1.5,10,1,1,55.52
2019/1/10 12:15,240.19,173.29,195.73,-6.79,866.47,1.75,10,1,1,63.21
2019/1/10 12:30,233.19,168.25,165.3,-5.95,866.25,2,10,1,1,69.37
2019/1/10 12:45,328.28,236.85,243.77,-5.69,866.15,2.25,10,1,1,74.63
2019/1/10 13:00,355.95,256.82,268.83,-4.53,865.9,2.5,10,1,1,79.18
2019/1/10 13:15,372.48,268.74,284.11,-3.83,865.48,2.75,10,1,1,81.42
2019/1/10 13:30,390.19,281.52,296.73,-3.32,865.01,3,10,1,1,84.36
2019/1/10 13:45,405.03,292.23,308.29,-2,864.68,3.25,10,1,1,88.07
2019/1/10 14:00,425.39,306.92,323.17,-1.72,864.3,3.5,10,1,1,91.13
2019/1/10 14:15,438.55,316.42,331.97,-2.92,864.06,3.75,10,1,1,90.61
2019/1/10 14:30,430.21,310.4,323.11,-1.71,863.81,4,10,1,1,86.21
2019/1/10 14:45,432.23,311.86,319.53,-1.03,863.59,4.25,10,1,1,86.42
2019/1/10 15:00,440.71,317.97,325.7,-1.42,863.43,4.5,10,1,1,89.06
2019/1/10 15:15,422.97,305.17,315.35,-1.37,863.2,4.75,10,1,1,85.14
2019/1/10 15:30,416.53,300.53,306.47,-0.55,863.02,5,10,1,1,69.83
2019/1/10 15:45,342.79,247.32,244.58,-0.47,862.81,5.25,10,1,1,71.8
2019/1/10 16:00,360.94,260.42,259.27,-0.6,862.63,5.5,10,1,1,69.15
2019/1/10 16:15,385.07,277.83,277.63,-1.23,862.38,5.75,10,1,1,68.55
2019/1/10 16:30,372.76,268.95,270.55,-0.12,862.05,6,10,1,1,68.71
2019/1/11 10:30,11.43,8.25,6.05,-7.99,863.57,0,11,1,1,2.2
2019/1/11 10:45,24.25,17.5,13.5,-8.42,863.65,0.25,11,1,1,5.01
2019/1/11 11:00,60.28,43.49,34.27,-8.28,863.67,0.5,11,1,1,10.55
2019/1/11 11:15,78.49,56.63,43.42,-8.02,863.84,0.75,11,1,1,11.82
2019/1/11 11:30,106.35,76.73,69.54,-7.16,863.8,1,11,1,1,12
2019/1/11 11:45,79.54,57.39,44.36,-6.86,863.73,1.25,11,1,1,14.39
2019/1/11 12:00,91.39,65.94,52.24,-6.7,863.64,1.5,11,1,1,14.05
2019/1/11 12:15,87.91,63.42,46.27,-6.53,863.63,1.75,11,1,1,27.48
2019/1/11 12:30,165.64,119.51,117.44,-5.97,863.59,2,11,1,1,32.32
2019/1/11 12:45,144.67,104.38,95.43,-5.92,863.41,2.25,11,1,1,44.42
2019/1/11 13:00,158.32,114.23,103.41,-4.93,863.28,2.5,11,1,1,19.32
2019/1/11 13:15,243.87,175.95,178.69,-5.06,863.13,2.75,11,1,1,53.38
2019/1/11 13:30,360.74,260.27,260.59,-2.86,862.89,3,11,1,1,75.89
2019/1/11 13:45,325.77,235.05,237.15,-2.7,862.39,3.25,11,1,1,71.29
2019/1/11 14:00,436.99,315.29,316.78,-1.77,862.03,3.5,11,1,1,77.91
2019/1/11 14:15,438.06,316.06,318.93,-1.53,861.81,3.75,11,1,1,86.25
2019/1/11 14:30,432.47,312.03,314.64,-1.58,861.52,4,11,1,1,94.76
2019/1/11 14:45,504.41,363.93,364.27,-0.39,861.24,4.25,11,1,1,94.67
2019/1/11 15:00,465.66,335.97,346.74,-0.17,860.92,4.5,11,1,1,89.52
2019/1/11 15:15,437.82,315.89,328.23,0.18,860.77,4.75,11,1,1,84.54
2019/1/11 15:30,418.79,302.16,312.83,0.38,860.82,5,11,1,1,82.21
2019/1/11 15:45,405.49,292.56,303.45,0.6,860.73,5.25,11,1,1,81.47
2019/1/11 16:00,392.07,282.88,293.52,0.92,860.7,5.5,11,1,1,79.34
2019/1/11 16:15,378.57,273.14,283.23,1.22,860.45,5.75,11,1,1,75.79
2019/1/11 16:30,357.95,258.26,265.29,1.41,860.38,6,11,1,1,70.09
2019/1/12 10:30,28.17,20.33,15.57,-7.35,866.25,0,12,1,1,5.4
2019/1/12 10:45,42.35,30.56,24.04,-6.5,866.43,0.25,12,1,1,8.78
2019/1/12 11:00,80.25,57.9,47.31,-5.58,866.4,0.5,12,1,1,10.74
2019/1/12 11:15,84.99,61.32,44.2,-5.47,866.55,0.75,12,1,1,12.71
2019/1/12 11:30,89.77,64.77,50.4,-5.39,866.55,1,12,1,1,13.23
2019/1/12 11:45,104.95,75.72,55.98,-5.33,866.54,1.25,12,1,1,18.77
2019/1/12 12:00,117.93,85.09,64.13,-4.99,866.55,1.5,12,1,1,16.83
2019/1/12 12:15,146.35,105.59,84.2,-4.87,866.51,1.75,12,1,1,18.37
2019/1/12 12:30,133.42,96.26,73.25,-4.7,866.49,2,12,1,1,26.4
2019/1/12 12:45,253.32,182.77,156.32,-4.45,866.37,2.25,12,1,1,42.17
2019/1/12 13:00,376.91,271.94,260.01,-3.25,866.06,2.5,12,1,1,67.68
2019/1/12 13:15,355.47,256.47,249.92,-2.38,865.66,2.75,12,1,1,63.14
2019/1/12 13:30,301.81,217.75,210.92,-2.11,865.33,3,12,1,1,56.84
2019/1/12 13:45,298.51,215.38,203.16,-2.3,865.19,3.25,12,1,1,55.48
2019/1/12 14:00,252.48,182.16,155.97,-1.76,865.19,3.5,12,1,1,49.48
2019/1/12 14:15,354.91,256.07,224.53,-1.14,864.93,3.75,12,1,1,50.96
2019/1/12 14:30,344.23,248.36,217.95,-0.98,864.63,4,12,1,1,50.64
2019/1/12 14:45,278.01,200.58,166.02,-0.64,864.45,4.25,12,1,1,40.34
2019/1/12 15:00,273.51,197.34,158.61,-0.59,864.42,4.5,12,1,1,37.7
2019/1/12 15:15,265.16,191.31,149.87,-0.28,864.38,4.75,12,1,1,33.92
2019/1/12 15:30,236.19,170.41,131.06,-0.7,864.17,5,12,1,1,31.9
2019/1/12 15:45,213.02,153.69,113.2,-0.47,864.18,5.25,12,1,1,25.32
2019/1/12 16:00,170.07,122.7,89.67,-0.53,864.16,5.5,12,1,1,20.52
2019/1/12 16:15,155.63,112.28,83.02,-0.71,864.27,5.75,12,1,1,20.12
2019/1/12 16:30,154.73,111.64,85.26,-0.57,864.28,6,12,1,1,20.08
2019/1/13 10:30,9.4,6.78,4.48,-7.13,869.56,0,13,1,1,1.67
2019/1/13 10:45,18.71,13.5,9.34,-6.98,869.72,0.25,13,1,1,2.5
2019/1/13 11:00,24.65,17.78,12.48,-6.59,869.97,0.5,13,1,1,3.5
2019/1/13 11:15,31.89,23.01,16.47,-6.4,870.12,0.75,13,1,1,4.13
2019/1/13 11:30,34.3,24.75,17.67,-6.34,870.26,1,13,1,1,5.74
2019/1/13 11:45,57.33,41.36,29.28,-6.13,870.44,1.25,13,1,1,7.94
